Comment,Designator,Footprint,LCSC
C,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1523
C,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
C,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C194427
C,"C26,C27,C3",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C2167244
R,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741
R,"R1,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
R,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25765
R,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25782
R,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2929906
C,C4,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
R,R15,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C321432
SWPA4030S1R0NT,L1,IND_SWPA4030S_SNL,C38117
TLV9061IDCKR,U2,DCK5_TEX,C398357
R,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C407485
R,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4184
LM5160ADNTR,U1,DNT0012B,C473375
C,"C1,C2",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
MM5Zxx,D23,D_SOD-523,C94383
WireHole_1p5,D27,WireHole_1p2,
WireHole_1p5,D28,WireHole_1p2,
LED_Cree_XHP50_6V,D6,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D7,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D8,LED_Cree-XHP50_6V,
