"Footprint","Part Value","LCSC Part"
"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C","C126632"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C","C15725"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C","C2932476"
"DCK5_TEX","TLV9061IDCKR","C398357"
"DNT0012B","LM5160ADNTR","C473375"
"D_MELF","1N5711UR","C116117"
"D_SOD-923","MM5Zxx","C2832580"
"IND_SWPA3015S_SNL","SWPA3015S4R7MT","C36403"
"IND_SWPA3015S_SNL","SWPA4030S1R0NT","C48020"
"IND_SWPA4030S_SNL","SWPA4030S1R0NT","C62684"
"IND_SWPA8040S_SNL","SWPA8040S220MT","C340241"
"LED_91-U0000","HSMW-C191-U0000","C375573"
"POWERPAK_SO-8_SINGLE_VIS","SI7489DP-T1-E3","C467910"
"QFN-28_4x4mm_P0.5mm","STM32G031G8Ux","C432211"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R","C25784"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","R","C22795"
"SOT-23-5","INA193","C19548"
