"Footprint","Part Value","LCSC Part"
"ATtiny25-20S","U1","SOIC-8W_5.3x5.3mm_P1.27mm"
"BZT52-C12J","Z1","BZT52C12J"
"BZT52-C12J","Z2","BZT52C12J"
"BZT52-C5V1J","Z3","SOD3616X130N"
"C","C11,C14,C16,C7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"C","C6","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"C","C15","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"C","C4","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"C","C8","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"C","C17","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C","C10,C20","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C","C9","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"C","C12","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C","C21","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder"
"C","C22","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"C","C23","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C","C1527"
"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C","C14663"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C","C28323"
"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C","C1848"
"FDN8601","IC5","SOT95P251X112-3N"
"FDN8601","IC2","SOT95P251X112-3N"
"FDN8601","IC1","SOT95P251X112-3N"
"INDC2016X80N","SRP4020TA-100M","C89446"
"INDC2016X80N","TFM201610ALC-R47MTAA","C89446"
"INDPM4441X200N","SRP5030T-100M","C189932"
"INDPM4441X200N","SRP4020TA-100M","C189932"
"INDPM5752X300N","SRP7050AA-220M","C189932"
"Mounting_Hole_M2","U2","Hole_screw_M1p2"
"Mounting_Hole_M2","U5","Hole_screw_M1p2"
"Mounting_Hole_M2","U4","Hole_screw_M1p2"
"Mounting_Hole_M2","U3","Hole_screw_M1p2"
"PAM2863ECR","IC4","SOIC127P600X175-9N"
"R","R9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"R","R3","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R","R6","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R","R8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"R","R7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"R","R4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"R","R5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"R","R10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"
"R","R1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"
"R","R12","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"
"R","R2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"
"R","R11","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"
"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R","C11702"
"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","R","C332751"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R","C149634"
"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","R","C149705"
"SOD3616X130N","BZT52-C5V1J","C523829"
"SODFL4626X120N","SS36","C14996"
"SOIC127P600X175-9N","PAM2863ECR","C80312"
"SOP50P490X110-11N","TPS40211QDGQRQ1","C14728"
"SOT95P251X112-3N","FDN8601","C2849571"
"SRP5030T-100M","L4,L7,L8","INDPM4441X200N"
"SS36","D12","SODFL4626X120N"
"SS36","D10","SODFL4626X120N"
"TFM201610ALC-R47MTAA","L6","INDC2016X80N"
"TFM201610ALC-R47MTAA","L10,L3,L9","INDC2016X80N"
"TPS40211QDGQRQ1","IC3","SOP50P490X110-11N"
"WireHole_1p5","D3","WireHole_1p2"
"WireHole_1p5","D1","WireHole_1p2"
"WireHole_1p5","D2","WireHole_1p2"
"WireHole_1p5","D20","WireHole_1p2"
"Wire_Pad_01","D15","Wire_Pad_01"
"Wire_Pad_01","D5","Wire_Pad_01"
"Wire_Pad_01","D7","Wire_Pad_01"
"Wire_Pad_01","D13","Wire_Pad_01"
"Wire_Pad_01","D14","Wire_Pad_01"
"Wire_Pad_01","D6","Wire_Pad_01"
"Wire_Pad_01","D4","Wire_Pad_01"
"Wire_Pad_01","D8","Wire_Pad_01"
"Wire_Pad_01","D11","Wire_Pad_01"
"Wire_Pad_01","D9","Wire_Pad_01"
"ZXTR2105FQ-7","IC6","SOT96P240X110-3N"
